Year,Irrigation ERF
1750,-0.0
1751,6.711290915889832e-05
1752,0.0001309579457331074
1753,0.00019156814535825468
1754,0.00024897654366996775
1755,0.00030321617630387404
1756,0.0003543200788956017
1757,0.00040232128708077736
1758,0.0004472528364950286
1759,0.0004891477627739834
1760,0.0005280391015532695
1761,0.0005639598884685139
1762,0.000596943159155344
1763,0.0006270219492493879
1764,0.0006542292943862728
1765,0.0006785982302016262
1766,0.0007001617923310755
1767,0.0007189530164102484
1768,0.0007350049380747723
1769,0.0007483505929602753
1770,0.0007590230167023841
1771,0.0007670552449367265
1772,0.0007724803132989301
1773,0.0007753312574246226
1774,0.0007756411129494308
1775,0.0007734429155089829
1776,0.0007687697007389066
1777,0.0007616545042748289
1778,0.0007521303617523776
1779,0.0007402303088071796
1780,0.0007259873810748638
1781,0.0007094346141910561
1782,0.0006906050437913851
1783,0.0006695317055114778
1784,0.0006462476349869621
1785,0.0006207858678534655
1786,0.0005931794397466152
1787,0.0005634613863020387
1788,0.0005316647431553642
1789,0.0004978225459422182
1790,0.00046196783029822875
1791,0.00042413363185902353
1792,0.0003843529862602297
1793,0.0003426589291374753
1794,0.0002990844961263874
1795,0.00025366272286259366
1796,0.0002064266449817219
1797,0.0001574092981193985
1798,0.00010664371791125245
1799,5.416293999291046e-05
1800,-0.0
1801,-5.581206643185101e-05
1802,-0.00011324022366701531
1803,-0.00017225143606986528
1804,-0.00023281266800477334
1805,-0.0002948908838361122
1806,-0.0003584530479282543
1807,-0.00042346612464557137
1808,-0.0004898970783524375
1809,-0.0005577128734132233
1810,-0.0006268804741923026
1811,-0.0006973668450540474
1812,-0.0007691389503628303
1813,-0.0008421637544830238
1814,-0.0009164082217789997
1815,-0.0009918393166151313
1816,-0.0010684240033557912
1817,-0.0011461292463653512
1818,-0.0012249220100081838
1819,-0.0013047692586486623
1820,-0.0013856379566511588
1821,-0.001467495068380045
1822,-0.0015503075581996945
1823,-0.001634042390474479
1824,-0.0017186665295687719
1825,-0.001804146939846944
1826,-0.0018904505856733693
1827,-0.00197754443141242
1828,-0.002065395441428468
1829,-0.0021539705800858867
1830,-0.002243236811749048
1831,-0.0023331611007823233
1832,-0.0024237104115500878
1833,-0.002514851708416711
1834,-0.0026065519557465677
1835,-0.00269877811790403
1836,-0.0027914971592534676
1837,-0.002884676044159259
1838,-0.002978281736985769
1839,-0.0030722812020973754
1840,-0.0031666414038584493
1841,-0.003261329306633363
1842,-0.0033563118747864896
1843,-0.0034515560726822003
1844,-0.0035470288646848687
1845,-0.0036426972151588667
1846,-0.003738528088468567
1847,-0.003834488448978344
1848,-0.0039305452610525655
1849,-0.00402666548905561
1850,-0.004122816097351843
1851,-0.004218964050305642
1852,-0.004315076312281381
1853,-0.004411119847643426
1854,-0.004507061620756155
1855,-0.004602868595983938
1856,-0.004698507737691149
1857,-0.004793946010242159
1858,-0.0048891503780013395
1859,-0.004984087805333067
1860,-0.0050787252566017104
1861,-0.005173029696171645
1862,-0.0052669680884072385
1863,-0.005360507397672868
1864,-0.005453614588332904
1865,-0.005546256624751721
1866,-0.005638400471293687
1867,-0.005730013092323179
1868,-0.005821061452204569
1869,-0.005911512515302229
1870,-0.006001333245980529
1871,-0.006090490608603841
1872,-0.006178951567536545
1873,-0.006266683087143005
1874,-0.006353652131787597
1875,-0.006439825665834696
1876,-0.006525170653648668
1877,-0.006609654059593889
1878,-0.006693242848034733
1879,-0.006775903983335572
1880,-0.006857604429860778
1881,-0.006938311151974723
1882,-0.0070179911140417755
1883,-0.007096611280426317
1884,-0.007174138615492713
1885,-0.0072505400836053386
1886,-0.0073257826491285654
1887,-0.007399833276426766
1888,-0.007472658929864314
1889,-0.0075442265738055805
1890,-0.007614503172614936
1891,-0.0076834556906567614
1892,-0.007751051092295417
1893,-0.007817256341895285
1894,-0.007882038403820735
1895,-0.007945364242436134
1896,-0.008007200822105863
1897,-0.00806751510719429
1898,-0.00812627406206579
1899,-0.008183444651084731
1900,-0.008238993923300958
1901,-0.008293000705105965
1902,-0.008345875763606615
1903,-0.008398091199938439
1904,-0.00845011911523697
1905,-0.008502431610637736
1906,-0.008555500787276269
1907,-0.0086097987462881
1908,-0.008665797588808763
1909,-0.008723969415973785
1910,-0.008784786328918697
1911,-0.008848720428779034
1912,-0.008916243816690327
1913,-0.008987828593788104
1914,-0.009063946861207898
1915,-0.009145070720085238
1916,-0.009231672271555658
1917,-0.009324223616754687
1918,-0.009423196856817855
1919,-0.009529064092880698
1920,-0.009642297426078745
1921,-0.009763368957547522
1922,-0.009892750788422567
1923,-0.010030915019839411
1924,-0.010178333752933578
1925,-0.010335479088840607
1926,-0.010502823128696024
1927,-0.010680837973635365
1928,-0.010869995724794156
1929,-0.011070768483307928
1930,-0.011283628350312217
1931,-0.011509047426942552
1932,-0.011747497814334462
1933,-0.011999451613623481
1934,-0.012265380925945141
1935,-0.012545757852434967
1936,-0.0128410544942285
1937,-0.013151742952461258
1938,-0.013478295328268783
1939,-0.013821183722786602
1940,-0.014180880655750516
1941,-0.014558267387981272
1942,-0.014955398135516459
1943,-0.015374536208075938
1944,-0.015817944915379554
1945,-0.016287887567147174
1946,-0.016786627473098656
1947,-0.017316427942953842
1948,-0.017879552286432603
1949,-0.018478263813254788
1950,-0.019114824911751323
1951,-0.019789327675540695
1952,-0.020495049665813465
1953,-0.021223934435626972
1954,-0.02196792553803859
1955,-0.022718966526105666
1956,-0.023469000952885552
1957,-0.024209972371435604
1958,-0.02493382433481318
1959,-0.025632500396075633
1960,-0.02629794410828033
1961,-0.028918909762046807
1962,-0.029399293817851047
1963,-0.029770103294233477
1964,-0.03016991780634521
1965,-0.030540916858124566
1966,-0.03110281833460592
1967,-0.03158390381937877
1968,-0.03226055528361794
1969,-0.03276842777197609
1970,-0.03330833850241431
1971,-0.03396275277259435
1972,-0.03464723370072646
1973,-0.035551205023416646
1974,-0.03611481267847031
1975,-0.03676046856531248
1976,-0.03754206896928852
1977,-0.038198284205739334
1978,-0.03901721200536961
1979,-0.03964991989260191
1980,-0.04030526308222687
1981,-0.0403052630822
1982,-0.040766555128
1983,-0.0410376286594
1984,-0.0410518915836
1985,-0.0408358344099
1986,-0.0408420078634
1987,-0.0410824960234
1988,-0.0414318576976
1989,-0.0418673426536
1990,-0.0423852620468
1991,-0.0429666918781
1992,-0.0435178433441
1993,-0.0437477742244
1994,-0.0434241257953
1995,-0.0435135253123
1996,-0.0441446618204
1997,-0.044950119357
1998,-0.0457296361769
1999,-0.0464156797525
2000,-0.046998002373
2001,-0.047481083643
2002,-0.0478735020226
2003,-0.048176816084
2004,-0.0484135754081
2005,-0.0485773989373
2006,-0.048703209136
2007,-0.0488159613232
2008,-0.0489423175645
2009,-0.0491053987075
2010,-0.0493176542153
2011,-0.0495641696446
2012,-0.0498529830899
2013,-0.0501604010712
2014,-0.0504695387194
2015,-0.0507575530278
2016,-0.0509922815929
2017,-0.0511460306085
2018,-0.0512278727602
2019,-0.0512517885954
