Year,Aerosol Forcing.Effective Radiative Forcing from Aerosol-Cloud Interactions[1],Aerosol Forcing.Effective Radiative Forcing from Aerosol-Radiation Interactions[1]
2005,-1.73498539872,-0.486998981922
2006,-1.77654546684,-0.505508697414
2007,-1.7849077927,-0.509285795831
2008,-1.77752381382,-0.505949677447
2009,-1.75239621918,-0.494700483005
2010,-1.70441130849,-0.47365659699
2011,-1.69540704709,-0.46977086055
2012,-1.70656840683,-0.474590415365
2013,-1.68918722399,-0.467098238529
2014,-1.6793368371,-0.462884729188
